run_accession,new_sample_name,merge_no
Cec_1_1_CKDN250010281-1A_22V5W7LT4_L8,Cec_1_1,1
Cec_1_1_CKDN250010281-1A_22YF5JLT4_L1,Cec_1_1,1
Cec_1_3_CKDN250010291-1A_22V5W7LT4_L8,Cec_1_3,2
Cec_1_3_CKDN250010291-1A_22YF5JLT4_L1,Cec_1_3,2
Duo_1_1_CKDN250010283-1A_22V5W7LT4_L8,Duo_1_1,3
Duo_1_1_CKDN250010283-1A_22YF5JLT4_L1,Duo_1_1,3
Duo_2_1_CKDN250010298-1A_22V5W7LT4_L8,Duo_2_1,4
Duo_2_1_CKDN250010298-1A_22YF5JLT4_L1,Duo_2_1,4
Duo_2_2_CKDN250010303-1A_22V5W7LT4_L8,Duo_2_2,5
Duo_2_2_CKDN250010303-1A_22YF5JLT4_L1,Duo_2_2,5
Ile_1_3_CKDN250010295-1A_22V5W7LT4_L8,Ile_1_3,6
Ile_1_3_CKDN250010295-1A_22YF5JLT4_L1,Ile_1_3,6
Jej_1_1_CKDN250010284-1A_22V5W7LT4_L8,Jej_1_1,7
Jej_1_1_CKDN250010284-1A_22YF5JLT4_L1,Jej_1_1,7
Jej_1_3_CKDN250010294-1A_22V5W7LT4_L8,Jej_1_3,8
Jej_1_3_CKDN250010294-1A_22YF5JLT4_L1,Jej_1_3,8
Jej_3_3_CKDN250010324-1A_22YCCFLT4_L1,Jej_3_3,9
Jej_3_3_CKDN250010324-1A_22YCFMLT4_L3,Jej_3_3,9
