run_accession,new_sample_name
Cec_1_2_CKDN250010286-1A_22V5W7LT4_L8,Cec_1_2
Cec_2_1_CKDN250010296-1A_22V5W7LT4_L8,Cec_2_1
Cec_2_2_CKDN250010301-1A_22V5W7LT4_L8,Cec_2_2
Cec_2_3_CKDN250010306-1A_22V5W7LT4_L8,Cec_2_3
Cec_3_1_CKDN250010311-1A_22V757LT4_L2,Cec_3_1
Cec_3_2_CKDN250010316-1A_22V757LT4_L2,Cec_3_2
Cec_3_3_CKDN250010321-1A_22V757LT4_L2,Cec_3_3
Col_1_1_CKDN250010282-1A_22V5W7LT4_L8,Col_1_1
Col_1_2_CKDN250010287-1A_22V5W7LT4_L8,Col_1_2
Col_1_3_CKDN250010292-1A_22V5W7LT4_L8,Col_1_3
Col_2_1_CKDN250010297-1A_22V5W7LT4_L8,Col_2_1
Col_2_2_CKDN250010302-1A_22V5W7LT4_L8,Col_2_2
Col_2_3_CKDN250010307-1A_22V5W7LT4_L8,Col_2_3
Col_3_1_CKDN250010312-1A_22V757LT4_L2,Col_3_1
Col_3_2_CKDN250010317-1A_22V757LT4_L2,Col_3_2
Col_3_3_CKDN250010322-1A_22V757LT4_L2,Col_3_3
Duo_1_2_CKDN250010288-1A_22V5W7LT4_L8,Duo_1_2
Duo_1_3_CKDN250010293-1A_22V5W7LT4_L8,Duo_1_3
Duo_2_3_CKDN250010308-1A_22V5W7LT4_L8,Duo_2_3
Duo_3_1_CKDN250010313-1A_22V757LT4_L2,Duo_3_1
Duo_3_2_CKDN250010318-1A_22V757LT4_L2,Duo_3_2
Duo_3_3_CKDN250010323-1A_22V757LT4_L2,Duo_3_3
Ile_1_1_CKDN250010285-1A_22V5W7LT4_L8,Ile_1_1
Ile_1_2_CKDN250010290-1A_22V5W7LT4_L8,Ile_1_2
Ile_2_1_CKDN250010300-1A_22V5W7LT4_L8,Ile_2_1
Ile_2_2_CKDN250010305-1A_22V5W7LT4_L8,Ile_2_2
Ile_2_3_CKDN250010310-1A_22V757LT4_L2,Ile_2_3
Ile_3_1_CKDN250010315-1A_22V757LT4_L2,Ile_3_1
Ile_3_2_CKDN250010320-1A_22V757LT4_L2,Ile_3_2
Ile_3_3_CKDN250010325-1A_22YCFMLT4_L3,Ile_3_3
Jej_1_2_CKDN250010289-1A_22V5W7LT4_L8,Jej_1_2
Jej_2_1_CKDN250010299-1A_22V5W7LT4_L8,Jej_2_1
Jej_2_2_CKDN250010304-1A_22V5W7LT4_L8,Jej_2_2
Jej_2_3_CKDN250010309-1A_22V757LT4_L2,Jej_2_3
Jej_3_1_CKDN250010314-1A_22V757LT4_L2,Jej_3_1
Jej_3_2_CKDN250010319-1A_22V757LT4_L2,Jej_3_2
