species	sample_1	sample_2	number_of_changes	opportunities	change_rate	mouse_1	mouse_2	cage_1	cage_2	location_1	location_2	orientation	coarse_location_1	coarse_location_2	taxonomic_assignment
209914	Cec_2_3	Cec_3_3	4	61066.0	6.550289850325877e-05	3	3	2	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_2_1	Cec_3_3	4	61079.0	6.548895692463859e-05	1	3	2	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_3_3	Col_2_3	4	61010.0	6.55630224553352e-05	3	3	3	2	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_3_1	Cec_3_3	4	60998.0	6.557592052198433e-05	1	3	3	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_3_2	Cec_3_3	4	60953.0	6.562433350286287e-05	2	3	3	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_3_3	Col_3_1	4	61046.0	6.552435868033942e-05	3	1	3	3	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
262170	Cec_1_3	Col_1_2	3	32362.0	9.270131635869229e-05	3	2	1	1	Cecum	Colon	Between host	Large intestine	Large intestine	g__ASF356
262170	Cec_1_1	Cec_1_3	3	32361.0	9.270418095856123e-05	1	3	1	1	Cecum	Cecum	Between host	Large intestine	Large intestine	g__ASF356
209914	Cec_3_3	Col_1_3	3	60892.0	4.926755567233791e-05	3	3	3	1	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_2_1	Col_3_1	3	61283.0	4.8953217042246626e-05	1	1	2	3	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
209914	Cec_2_1	Col_2_3	3	61256.0	4.897479430586392e-05	1	3	2	2	Cecum	Colon	Between host	Large intestine	Large intestine	g__AM07-15
262170	Cec_1_2	Cec_2_1	3	32354.0	9.272423811584348e-05	2	1	1	2	Cecum	Cecum	Between host	Large intestine	Large intestine	g__ASF356
262170	Cec_2_1	Cec_3_1	3	32348.0	9.27414368739953e-05	1	1	2	3	Cecum	Cecum	Between host	Large intestine	Large intestine	g__ASF356
