species,sample_1,sample_2
Acidaminococcus_intestini_54097,SRR18585205,SRR18585207
Acidaminococcus_intestini_54097,SRR18585205,SRR18585211
Acidaminococcus_intestini_54097,SRR18585207,SRR18585211
Akkermansia_muciniphila_55290,SRR18585068,SRR18585069
Akkermansia_muciniphila_55290,SRR18585068,SRR18585070
Akkermansia_muciniphila_55290,SRR18585068,SRR18585072
Akkermansia_muciniphila_55290,SRR18585068,SRR18585075
Akkermansia_muciniphila_55290,SRR18585069,SRR18585070
Akkermansia_muciniphila_55290,SRR18585069,SRR18585072
Akkermansia_muciniphila_55290,SRR18585069,SRR18585075
Akkermansia_muciniphila_55290,SRR18585070,SRR18585072
Akkermansia_muciniphila_55290,SRR18585070,SRR18585075
Akkermansia_muciniphila_55290,SRR18585072,SRR18585075
Akkermansia_muciniphila_55290,SRR18585185,SRR18585186
Akkermansia_muciniphila_55290,SRR18585185,SRR18585188
Akkermansia_muciniphila_55290,SRR18585185,SRR18585189
Akkermansia_muciniphila_55290,SRR18585185,SRR18585190
Akkermansia_muciniphila_55290,SRR18585185,SRR18585193
Akkermansia_muciniphila_55290,SRR18585186,SRR18585188
Akkermansia_muciniphila_55290,SRR18585186,SRR18585189
Akkermansia_muciniphila_55290,SRR18585186,SRR18585190
Akkermansia_muciniphila_55290,SRR18585186,SRR18585193
Akkermansia_muciniphila_55290,SRR18585188,SRR18585189
Akkermansia_muciniphila_55290,SRR18585188,SRR18585190
Akkermansia_muciniphila_55290,SRR18585188,SRR18585193
Akkermansia_muciniphila_55290,SRR18585189,SRR18585190
Akkermansia_muciniphila_55290,SRR18585189,SRR18585193
Akkermansia_muciniphila_55290,SRR18585190,SRR18585193
Alistipes_onderdonkii_55464,SRR18584997,SRR18584998
Alistipes_onderdonkii_55464,SRR18584997,SRR18584999
Alistipes_onderdonkii_55464,SRR18584997,SRR18585000
Alistipes_onderdonkii_55464,SRR18584997,SRR18585001
Alistipes_onderdonkii_55464,SRR18584997,SRR18585004
Alistipes_onderdonkii_55464,SRR18584997,SRR18585203
Alistipes_onderdonkii_55464,SRR18584997,SRR18585204
Alistipes_onderdonkii_55464,SRR18584997,SRR18585205
Alistipes_onderdonkii_55464,SRR18584997,SRR18585207
Alistipes_onderdonkii_55464,SRR18584997,SRR18585209
Alistipes_onderdonkii_55464,SRR18584997,SRR18585210
Alistipes_onderdonkii_55464,SRR18584998,SRR18584999
Alistipes_onderdonkii_55464,SRR18584998,SRR18585000
Alistipes_onderdonkii_55464,SRR18584998,SRR18585001
Alistipes_onderdonkii_55464,SRR18584998,SRR18585004
Alistipes_onderdonkii_55464,SRR18584998,SRR18585203
Alistipes_onderdonkii_55464,SRR18584998,SRR18585204
Alistipes_onderdonkii_55464,SRR18584998,SRR18585205
Alistipes_onderdonkii_55464,SRR18584998,SRR18585207
Alistipes_onderdonkii_55464,SRR18584998,SRR18585209
Alistipes_onderdonkii_55464,SRR18584998,SRR18585210
Alistipes_onderdonkii_55464,SRR18584999,SRR18585000
Alistipes_onderdonkii_55464,SRR18584999,SRR18585001
Alistipes_onderdonkii_55464,SRR18584999,SRR18585004
Alistipes_onderdonkii_55464,SRR18584999,SRR18585203
Alistipes_onderdonkii_55464,SRR18584999,SRR18585204
Alistipes_onderdonkii_55464,SRR18584999,SRR18585205
Alistipes_onderdonkii_55464,SRR18584999,SRR18585207
Alistipes_onderdonkii_55464,SRR18584999,SRR18585209
Alistipes_onderdonkii_55464,SRR18584999,SRR18585210
Alistipes_onderdonkii_55464,SRR18585000,SRR18585001
Alistipes_onderdonkii_55464,SRR18585000,SRR18585004
Alistipes_onderdonkii_55464,SRR18585000,SRR18585203
Alistipes_onderdonkii_55464,SRR18585000,SRR18585204
Alistipes_onderdonkii_55464,SRR18585000,SRR18585205
Alistipes_onderdonkii_55464,SRR18585000,SRR18585207
Alistipes_onderdonkii_55464,SRR18585000,SRR18585209
Alistipes_onderdonkii_55464,SRR18585000,SRR18585210
Alistipes_onderdonkii_55464,SRR18585001,SRR18585004
Alistipes_onderdonkii_55464,SRR18585001,SRR18585203
Alistipes_onderdonkii_55464,SRR18585001,SRR18585204
Alistipes_onderdonkii_55464,SRR18585001,SRR18585205
Alistipes_onderdonkii_55464,SRR18585001,SRR18585207
Alistipes_onderdonkii_55464,SRR18585001,SRR18585209
Alistipes_onderdonkii_55464,SRR18585001,SRR18585210
Alistipes_onderdonkii_55464,SRR18585004,SRR18585203
Alistipes_onderdonkii_55464,SRR18585004,SRR18585204
Alistipes_onderdonkii_55464,SRR18585004,SRR18585205
Alistipes_onderdonkii_55464,SRR18585004,SRR18585207
Alistipes_onderdonkii_55464,SRR18585004,SRR18585209
Alistipes_onderdonkii_55464,SRR18585004,SRR18585210
Alistipes_onderdonkii_55464,SRR18585027,SRR18585090
Alistipes_onderdonkii_55464,SRR18585037,SRR18585043
Alistipes_onderdonkii_55464,SRR18585037,SRR18585185
Alistipes_onderdonkii_55464,SRR18585037,SRR18585186
Alistipes_onderdonkii_55464,SRR18585037,SRR18585188
Alistipes_onderdonkii_55464,SRR18585037,SRR18585189
Alistipes_onderdonkii_55464,SRR18585037,SRR18585190
Alistipes_onderdonkii_55464,SRR18585037,SRR18585193
Alistipes_onderdonkii_55464,SRR18585037,SRR18585194
Alistipes_onderdonkii_55464,SRR18585037,SRR18585195
Alistipes_onderdonkii_55464,SRR18585037,SRR18585196
Alistipes_onderdonkii_55464,SRR18585043,SRR18585185
Alistipes_onderdonkii_55464,SRR18585043,SRR18585186
Alistipes_onderdonkii_55464,SRR18585043,SRR18585188
Alistipes_onderdonkii_55464,SRR18585043,SRR18585189
Alistipes_onderdonkii_55464,SRR18585043,SRR18585190
Alistipes_onderdonkii_55464,SRR18585043,SRR18585193
Alistipes_onderdonkii_55464,SRR18585043,SRR18585194
Alistipes_onderdonkii_55464,SRR18585043,SRR18585195
Alistipes_onderdonkii_55464,SRR18585043,SRR18585196
Alistipes_onderdonkii_55464,SRR18585185,SRR18585186
Alistipes_onderdonkii_55464,SRR18585185,SRR18585188
Alistipes_onderdonkii_55464,SRR18585185,SRR18585189
Alistipes_onderdonkii_55464,SRR18585185,SRR18585190
Alistipes_onderdonkii_55464,SRR18585185,SRR18585193
Alistipes_onderdonkii_55464,SRR18585185,SRR18585194
Alistipes_onderdonkii_55464,SRR18585185,SRR18585195
Alistipes_onderdonkii_55464,SRR18585185,SRR18585196
Alistipes_onderdonkii_55464,SRR18585186,SRR18585188
Alistipes_onderdonkii_55464,SRR18585186,SRR18585189
Alistipes_onderdonkii_55464,SRR18585186,SRR18585190
Alistipes_onderdonkii_55464,SRR18585186,SRR18585193
Alistipes_onderdonkii_55464,SRR18585186,SRR18585194
Alistipes_onderdonkii_55464,SRR18585186,SRR18585195
Alistipes_onderdonkii_55464,SRR18585186,SRR18585196
Alistipes_onderdonkii_55464,SRR18585188,SRR18585189
Alistipes_onderdonkii_55464,SRR18585188,SRR18585190
Alistipes_onderdonkii_55464,SRR18585188,SRR18585193
Alistipes_onderdonkii_55464,SRR18585188,SRR18585194
Alistipes_onderdonkii_55464,SRR18585188,SRR18585195
Alistipes_onderdonkii_55464,SRR18585188,SRR18585196
Alistipes_onderdonkii_55464,SRR18585189,SRR18585190
Alistipes_onderdonkii_55464,SRR18585189,SRR18585193
Alistipes_onderdonkii_55464,SRR18585189,SRR18585194
Alistipes_onderdonkii_55464,SRR18585189,SRR18585195
Alistipes_onderdonkii_55464,SRR18585189,SRR18585196
Alistipes_onderdonkii_55464,SRR18585190,SRR18585193
Alistipes_onderdonkii_55464,SRR18585190,SRR18585194
Alistipes_onderdonkii_55464,SRR18585190,SRR18585195
Alistipes_onderdonkii_55464,SRR18585190,SRR18585196
Alistipes_onderdonkii_55464,SRR18585193,SRR18585194
Alistipes_onderdonkii_55464,SRR18585193,SRR18585195
Alistipes_onderdonkii_55464,SRR18585193,SRR18585196
Alistipes_onderdonkii_55464,SRR18585194,SRR18585195
