sample_type	date	time	sample	freq	species	strain	subject	tissue	quantile_25	quantile_75	upper_ci	lower_ci	sample_type_number
Capsule	2020-09-25	23:30:00	SRR18585269	0.6740557821248248	Anaerostipes_hadrus_55206	1	13	Small intestine 2	0.5294117647058824	0.8333333333333334	0.7158968133952246	0.6316319019258101	Capsule 2
Capsule	2020-09-27	05:30:00	SRR18585267	0.5176529391729382	Anaerostipes_hadrus_55206	1	13	Small intestine 1	0.4594594594594594	0.578125	0.5346125940922584	0.5014782023648287	Capsule 1
Capsule	2020-09-25	23:30:00	SRR18585269	0.06570003790185351	Anaerostipes_hadrus_55206	2	13	Small intestine 2	0.0	0.09999999999999998	0.08897455120909027	0.04259007869925052	Capsule 2
Capsule	2020-09-27	05:30:00	SRR18585267	0.023351533495971383	Anaerostipes_hadrus_55206	2	13	Small intestine 1	0.0	0.03614457831325302	0.02832963581168532	0.018190562207074837	Capsule 1
Capsule	2020-09-25	23:30:00	SRR18585269	0.3781903686971579	Anaerostipes_hadrus_55206	3	13	Small intestine 2	0.25	0.5	0.4208976304576204	0.3365472946862985	Capsule 2
Capsule	2020-09-27	05:30:00	SRR18585267	0.031574478697538766	Anaerostipes_hadrus_55206	3	13	Small intestine 1	0.0	0.04938271604938271	0.037940539843782484	0.025889618375812325	Capsule 1
Capsule	2020-06-28	20:45:00	SRR18585229	0.2493464120977397	Eubacterium_rectale_56927	1	5	Small intestine 1	0.1917808219178082	0.3035714285714286	0.2638015789201017	0.2331210806580315	Capsule 1
Capsule	2020-06-28	20:45:00	SRR18585229	0.1325797615589791	Eubacterium_rectale_56927	2	5	Small intestine 1	0.1	0.1578947368421053	0.14134883752412708	0.12435868243937888	Capsule 1
Capsule	2020-06-28	20:45:00	SRR18585229	0.4909834600481538	Eubacterium_rectale_56927	3	5	Small intestine 1	0.4193548387096774	0.5641025641025641	0.5099905991734927	0.4729825905821949	Capsule 1
Capsule	2020-09-14	19:30:00	SRR18585033	0.13552192830188314	Guyana_massiliensis_60772	1	11	Small intestine 1	0.10526315789473684	0.1644060922855083	0.14272124825193475	0.12859370934115866	Capsule 1
Capsule	2020-09-14	19:30:00	SRR18585033	0.964523550310553	Guyana_massiliensis_60772	2	11	Small intestine 1	0.9473684210526316	0.9823785126533148	0.968228907723482	0.9607287102509552	Capsule 1
Capsule	2020-09-14	19:30:00	SRR18585033	0.24581767534817844	Guyana_massiliensis_60772	3	11	Small intestine 1	0.21852913350770767	0.2662079510703364	0.2531839391404479	0.2388965426545103	Capsule 1
Capsule	2020-09-14	06:30:00	SRR18584979	0.13507997338449726	Roseburia_inulinivorans_61943	1	12	Ascending colon	0.09756097560975607	0.16853932584269662	0.14500031150102274	0.1256239120898142	Capsule 4
Capsule	2020-09-14	06:30:00	SRR18584979	0.032373883727804226	Roseburia_inulinivorans_61943	2	12	Ascending colon	0.012658227848101266	0.04651162790697674	0.037383676795766436	0.02736113305859944	Capsule 4
Capsule	2020-09-14	06:30:00	SRR18584979	0.7930004673795028	Roseburia_inulinivorans_61943	3	12	Ascending colon	0.7477980232636321	0.8333333333333334	0.8036774736738295	0.7816164634794184	Capsule 4
