sample_type,date,time,sample,freq,species,strain,subject,tissue,quantile_25,quantile_75,upper_ci,lower_ci,sample_type_number
Capsule,2020-08-25,00:30:00,SRR18585211,0.0013830924005943,Acidaminococcus_intestini_54097,1,9,Small intestine 1,0.0,0.002919714251615433,0.0018766366604023527,0.0009015395019080967,Capsule 1
Capsule,2020-08-25,00:30:00,SRR18585210,0.07803226877575292,Acidaminococcus_intestini_54097,1,9,Small intestine 2,0.0,0.15384615384615385,0.09777069741110267,0.05812028165365603,Capsule 2
Capsule,2020-08-25,07:40:00,SRR18585207,0.0011530886683107865,Acidaminococcus_intestini_54097,1,9,Small intestine 1,0.0,0.0,0.0017864117904192879,0.0006384796920592849,Capsule 1
Capsule,2020-08-25,07:40:00,SRR18585205,0.03991512088302451,Acidaminococcus_intestini_54097,1,9,Small intestine 2,0.0,0.1,0.05241681970296288,0.02774909040409497,Capsule 2
Capsule,2020-08-25,00:30:00,SRR18585211,0.9986169075994056,Acidaminococcus_intestini_54097,2,9,Small intestine 1,0.9970802857483846,1.0,0.9991283973882996,0.9980296119969913,Capsule 1
Capsule,2020-08-25,00:30:00,SRR18585210,0.921967731224247,Acidaminococcus_intestini_54097,2,9,Small intestine 2,0.8461538461538461,1.0,0.9430391223867692,0.8990116212371185,Capsule 2
Capsule,2020-08-25,07:40:00,SRR18585207,0.9988469113316892,Acidaminococcus_intestini_54097,2,9,Small intestine 1,1.0,1.0,0.9993464424768859,0.9982445324183824,Capsule 1
Capsule,2020-08-25,07:40:00,SRR18585205,0.9600848791169756,Acidaminococcus_intestini_54097,2,9,Small intestine 2,0.9,1.0,0.9723303362045504,0.94727041592852,Capsule 2
Saliva,2020-09-28,00:00:00,SRR18585106,0.29617109438980593,Actinomyces_graevenitzii_58300,1,14,Saliva,0.2,0.3888888888888889,0.31788796309138795,0.27521790375589994,Saliva
Saliva,2020-09-28,00:00:00,SRR18585106,0.7038289056101941,Actinomyces_graevenitzii_58300,2,14,Saliva,0.6111111111111112,0.8,0.7243076341306903,0.6816881477360154,Saliva
Saliva,2020-08-23,00:00:00,SRR18584996,0.2905581740891162,Actinomyces_sp_57735,1,9,Saliva,0.1875,0.3913043478260869,0.3149187678793119,0.2656573662471801,Saliva
Saliva,2020-08-24,00:00:00,SRR18584995,0.3011581761878084,Actinomyces_sp_57735,1,9,Saliva,0.18181818181818185,0.4,0.33103758207082845,0.2704269580708044,Saliva
Saliva,2020-08-23,00:00:00,SRR18584996,0.7094418259108838,Actinomyces_sp_57735,2,9,Saliva,0.6086956521739131,0.8125,0.7330320122306352,0.6858269106772467,Saliva
Saliva,2020-08-24,00:00:00,SRR18584995,0.6988418238121916,Actinomyces_sp_57735,2,9,Saliva,0.6,0.8181818181818181,0.7284857137996965,0.6685170104711698,Saliva
Saliva,2020-08-15,00:00:00,SRR18585077,0.11368365689773048,Actinomyces_sp_62581,1,6,Saliva,0.0,0.1851851851851852,0.13392607756030725,0.09324515647707236,Saliva
Saliva,2020-08-16,00:00:00,SRR18585076,0.10585718225086617,Actinomyces_sp_62581,1,6,Saliva,0.04,0.16666666666666666,0.122953338301458,0.08841523965296971,Saliva
Saliva,2020-08-15,00:00:00,SRR18585077,0.8863163431022695,Actinomyces_sp_62581,2,6,Saliva,0.8148148148148149,1.0,0.906146964870296,0.8657768104360247,Saliva
Saliva,2020-08-16,00:00:00,SRR18585076,0.894142817749134,Actinomyces_sp_62581,2,6,Saliva,0.8333333333333334,0.96,0.9116769465212696,0.8766875955646575,Saliva
Saliva,2020-08-23,00:00:00,SRR18584996,0.11062667151973447,Actinomyces_sp_62581,1,9,Saliva,0.04166666666666666,0.17647058823529413,0.1276059252200695,0.09412964878204234,Saliva
Saliva,2020-08-24,00:00:00,SRR18584995,0.13268852958055746,Actinomyces_sp_62581,1,9,Saliva,0.05,0.2,0.15229655006574722,0.11337363551146401,Saliva
Saliva,2020-08-23,00:00:00,SRR18584996,0.8893733284802656,Actinomyces_sp_62581,2,9,Saliva,0.8235294117647058,0.9583333333333334,0.9069488311797558,0.8715183116736068,Saliva
Saliva,2020-08-24,00:00:00,SRR18584995,0.8673114704194427,Actinomyces_sp_62581,2,9,Saliva,0.8,0.95,0.8877900069220643,0.8476409478003138,Saliva
Saliva,2020-08-29,00:00:00,SRR18585049,0.19162644362535092,Actinomyces_sp_62581,1,10,Saliva,0.1,0.26666666666666666,0.21045566406056287,0.17312495075731732,Saliva
Saliva,2020-08-29,00:00:00,SRR18585049,0.8083735563746491,Actinomyces_sp_62581,2,10,Saliva,0.7333333333333334,0.9,0.8284140349804016,0.7906392401550143,Saliva
Saliva,2020-09-10,00:00:00,SRR18584978,0.6546733498260036,Actinomyces_sp_62581,1,12,Saliva,0.5714285714285714,0.75,0.6771594905372224,0.6327695762427397,Saliva
Saliva,2020-09-11,00:00:00,SRR18584977,0.7746058210672561,Actinomyces_sp_62581,1,12,Saliva,0.6666666666666667,0.8947368421052632,0.8010986234737503,0.7495527033080719,Saliva
Saliva,2020-09-10,00:00:00,SRR18584978,0.07613516012079856,Actinomyces_sp_62581,2,12,Saliva,0.04166666666666666,0.11111111111111116,0.08617047718913051,0.06593450592143643,Saliva
Saliva,2020-09-11,00:00:00,SRR18584977,0.1504181956002585,Actinomyces_sp_62581,2,12,Saliva,0.040000000000000036,0.25,0.1765782241754578,0.12469036540513001,Saliva
Saliva,2020-09-28,00:00:00,SRR18585106,0.8544537539775768,Actinomyces_sp_62581,1,14,Saliva,0.8048780487804879,0.9090909090909092,0.8663931099666142,0.841750649089394,Saliva
Saliva,2020-09-29,00:00:00,SRR18585105,0.8276794867166071,Actinomyces_sp_62581,1,14,Saliva,0.75,0.9090909090909092,0.8464548695489094,0.8074853846926129,Saliva
Saliva,2020-09-28,00:00:00,SRR18585106,0.3583987085190167,Actinomyces_sp_62581,2,14,Saliva,0.2962962962962963,0.42105263157894735,0.3737113700539823,0.3431799036400471,Saliva
Saliva,2020-09-29,00:00:00,SRR18585105,0.3906776695017028,Actinomyces_sp_62581,2,14,Saliva,0.3043478260869565,0.4761904761904762,0.4132145669469576,0.36809181478210506,Saliva
Saliva,2020-09-12,00:00:00,SRR18585191,0.2967108194939716,Actinomyces_viscosus_57672,1,11,Saliva,0.2,0.4,0.3183365662171693,0.2747665550272479,Saliva
Saliva,2020-09-12,00:00:00,SRR18585191,0.7032891805060284,Actinomyces_viscosus_57672,2,11,Saliva,0.6,0.8,0.7234850545070928,0.6814339801232965,Saliva
Stool,2020-06-26,00:00:00,SRR18585014,0.18954023230183628,Adlercreutzia_equolifaciens_60310,1,2,Stool,0.09999999999999998,0.26666666666666666,0.21085539041429624,0.17003734976569912,Stool
Stool,2020-06-26,00:00:00,SRR18585014,0.8104597676981637,Adlercreutzia_equolifaciens_60310,2,2,Stool,0.7333333333333334,0.9,0.8300576757265746,0.7904879946845054,Stool
Stool,2020-08-24,00:00:00,SRR18584999,0.7130621731079754,Adlercreutzia_equolifaciens_60310,1,9,Stool,0.6,0.8181818181818181,0.7365047284159527,0.6888251709957252,Stool
Stool,2020-08-24,00:00:00,SRR18584999,0.28693782689202463,Adlercreutzia_equolifaciens_60310,2,9,Stool,0.18181818181818188,0.4,0.31087113840237995,0.26234533656473985,Stool
Capsule,2020-09-12,23:45:00,SRR18585182,0.0656233092262859,Adlercreutzia_equolifaciens_60310,1,12,Small intestine 2,0.0,0.1111111111111111,0.08274028267146298,0.05073259743027828,Capsule 2
