species,strain,subject,sample_type,sample_type_number,tissue,date,time,timepoint,sample,freq,quantile_25,quantile_75,upper_ci,lower_ci
Acidaminococcus_intestini_54097,1,9,Capsule,Capsule 1,Small intestine 1,2020-08-25,00:30:00,1,SRR18585211,0.0013830924005943,0.0,0.002919714251615433,0.0018766366604023527,0.0009015395019080967
Acidaminococcus_intestini_54097,2,9,Capsule,Capsule 1,Small intestine 1,2020-08-25,00:30:00,1,SRR18585211,0.9986169075994056,0.9970802857483846,1.0,0.9991283973882996,0.9980296119969913
Acidaminococcus_intestini_54097,1,9,Capsule,Capsule 2,Small intestine 2,2020-08-25,00:30:00,1,SRR18585210,0.07803226877575292,0.0,0.15384615384615385,0.09777069741110267,0.05812028165365603
Acidaminococcus_intestini_54097,2,9,Capsule,Capsule 2,Small intestine 2,2020-08-25,00:30:00,1,SRR18585210,0.921967731224247,0.8461538461538461,1.0,0.9430391223867692,0.8990116212371185
Acidaminococcus_intestini_54097,1,9,Capsule,Capsule 1,Small intestine 1,2020-08-25,07:40:00,2,SRR18585207,0.0011530886683107865,0.0,0.0,0.0017864117904192879,0.0006384796920592849
Acidaminococcus_intestini_54097,2,9,Capsule,Capsule 1,Small intestine 1,2020-08-25,07:40:00,2,SRR18585207,0.9988469113316892,1.0,1.0,0.9993464424768859,0.9982445324183824
Acidaminococcus_intestini_54097,1,9,Capsule,Capsule 2,Small intestine 2,2020-08-25,07:40:00,2,SRR18585205,0.03991512088302451,0.0,0.1,0.05241681970296288,0.02774909040409497
Acidaminococcus_intestini_54097,2,9,Capsule,Capsule 2,Small intestine 2,2020-08-25,07:40:00,2,SRR18585205,0.9600848791169756,0.9,1.0,0.9723303362045504,0.94727041592852
Adlercreutzia_equolifaciens_60310,1,12,Capsule,Capsule 2,Small intestine 2,2020-09-12,23:45:00,1,SRR18585182,0.0656233092262859,0.0,0.1111111111111111,0.08274028267146298,0.05073259743027828
Adlercreutzia_equolifaciens_60310,2,12,Capsule,Capsule 2,Small intestine 2,2020-09-12,23:45:00,1,SRR18585182,0.934376690773714,0.8888888888888888,1.0,0.9493833186501132,0.9177481364424824
Adlercreutzia_equolifaciens_60310,1,12,Capsule,Capsule 1,Small intestine 1,2020-09-13,06:15:00,2,SRR18585181,0.08267546072527653,0.0,0.14285714285714285,0.10286382123376503,0.06387928039902416
Adlercreutzia_equolifaciens_60310,2,12,Capsule,Capsule 1,Small intestine 1,2020-09-13,06:15:00,2,SRR18585181,0.9173245392747236,0.8571428571428572,1.0,0.9370083575078308,0.8982028816703858
Adlercreutzia_equolifaciens_60310,1,12,Capsule,Capsule 4,Ascending colon,2020-09-13,06:15:00,2,SRR18585178,0.06550800672875066,0.0,0.1,0.08862238386709594,0.04416588888973713
Adlercreutzia_equolifaciens_60310,2,12,Capsule,Capsule 4,Ascending colon,2020-09-13,06:15:00,2,SRR18585178,0.9344919932712492,0.9,1.0,0.9570005115768028,0.9114569328494544
Adlercreutzia_equolifaciens_60310,1,12,Capsule,Capsule 2,Small intestine 2,2020-09-13,21:20:00,3,SRR18585177,0.09809631639008057,0.0,0.16666666666666666,0.12203793430103607,0.07581269799368381
Adlercreutzia_equolifaciens_60310,2,12,Capsule,Capsule 2,Small intestine 2,2020-09-13,21:20:00,3,SRR18585177,0.9019036836099196,0.8333333333333334,1.0,0.9261569093365412,0.8774059730794886
Adlercreutzia_equolifaciens_60310,1,12,Capsule,Capsule 3,Small intestine 3,2020-09-13,21:20:00,3,SRR18584983,0.10122993386869816,0.0,0.16666666666666666,0.12300498076658367,0.08106586180437134
