sample_id	pangenome_size	covered_genes	fraction_covered	mean_coverage	marker_coverage
M8CeCGG	22080	12057	0.546059782609	31.5202055222	66.3980582524
M8JGG_2	22080	6764	0.30634057971	3.51318255884	2.12230215827
M8IGG_2	22080	6237	0.282472826087	3.43119435626	0.996677740864
M7CecGG	22080	11130	0.504076086957	20.7110405071	45.5704099822
M8ColonGG_2	22080	11275	0.510643115942	24.5281960842	32.2354813047
M7IGG_2	22080	4189	0.189719202899	1.32544676232	0.49504950495
TL1gDNAshort	22080	13372	0.605615942029	40.051677363	127.842003854
M7JGG	22080	5147	0.233106884058	2.03820342071	0.728155339806
M8D	22080	9032	0.409057971014	6.09308124585	5.8128342246
M7ColonGG	22080	11735	0.531476449275	28.6992390502	68.3174224344
M1JC_CKDN220050970-1A_H7MMHDSX5_L2	22080	6425	0.290987318841	2.91429762374	1.76767676768
M1CeC_CKDN220050952-1A_H7MMHDSX5_L3	22080	12912	0.584782608696	31.285329575	69.8027613412
M1CoC_CKDN220050958-1A_H7MMHDSX5_L2	22080	12929	0.585552536232	25.3880633211	67.7468805704
M1IC_CKDN220050976-1A_H7MMHDSX5_L2	22080	9824	0.444927536232	3.10951922431	2.92725298588
M1DC_CKDN220050964-1A_H7MMHDSX5_L2	22080	5878	0.266213768116	1.26857601917	0.657836644592
M2IC_CKDN220050977-1A_H7MMHDSX5_L2	22080	11499	0.520788043478	5.38754481837	12.1462829736
M3CeC_CKDN220050954-1A_H7MMHDSX5_L2	22080	12704	0.575362318841	22.1170045743	46.7110453649
M6IG_CKDN220050981-1A_HF3V5DSX5_L1	22080	9669	0.437907608696	5.66551772618	11.4174917492
M2CeC_CKDN220050953-1A_merge	22080	12712	0.575724637681	21.5301754197	41.4083333333
M2CoC_CKDN220050959-1A_H7MMHDSX5_L2	22080	12570	0.569293478261	17.7125332621	35.2426035503
M3CoC_CKDN220050960-1A_H7MMHDSX5_L2	22080	12509	0.566530797101	11.4271201898	24.2937853107
M6JG_CKDN220050975-1A_H7MMHDSX5_L2	22080	7483	0.338903985507	2.41747399931	2.60927152318
M6CeG_CKDN220050957-1A_H7MMGDSX5_L2	22080	11982	0.542663043478	17.1475968309	36.9768270945
M4CoG_CKDN220050961-1A_merge	22080	10980	0.497282608696	12.2354407997	21.6527777778
M3JC_CKDN220050972-1A_H7MMHDSX5_L2	22080	3956	0.179166666667	3.52085932464	0.0
M6CoG_CKDN220050963-1A_H7MMHDSX5_L2	22080	12229	0.553849637681	21.2369338233	51.3642384106
M2JC_CKDN220050971-1A_H7MMHDSX5_L2	22080	6532	0.295833333333	2.66390733022	0.459546925566
M5CeG_CKDN220050956-1A_H7MMHDSX5_L2	22080	10143	0.459375	8.32520148906	9.26203208556
M5CoG_CKDN220050962-1A_merge	22080	10935	0.495244565217	13.3363258865	24.0220750552
M4CeG_CKDN220050955-1A_H7MMHDSX5_L2	22080	10449	0.473233695652	8.29681701905	13.245823389
M5IG_CKDN220050980-1A_HF3V5DSX5_L1	22080	6811	0.308469202899	3.50613736786	1.6146179402
M4IG_CKDN220050979-1A_H7MMHDSX5_L2	22080	7468	0.338224637681	3.64527813598	1.75895765472
M4DG_CKDN220050967-1A_H7MMHDSX5_L3	22080	4457	0.201856884058	1.335086307	0.247524752475
M4JG_CKDN220050973-1A_merge	22080	5306	0.240307971014	1.41122012455	0.485436893204
M5JG_CKDN220050974-1A_merge	22080	4424	0.200362318841	2.04080853604	0.28901734104
