subject_id,SRS
M1,M1CeC_CKDN220050952-1A_H7MMHDSX5_L3
M1,M1CoC_CKDN220050958-1A_H7MMHDSX5_L2
M1,M1DC_CKDN220050964-1A_H7MMHDSX5_L2
M1,M1IC_CKDN220050976-1A_H7MMHDSX5_L2
M1,M1JC_CKDN220050970-1A_H7MMHDSX5_L2
M2,M2CeC_CKDN220050953-1A_merge
M2,M2CoC_CKDN220050959-1A_H7MMHDSX5_L2
M2,M2DC_CKDN220050965-1A_H7MMHDSX5_L2
M2,M2IC_CKDN220050977-1A_H7MMHDSX5_L2
M2,M2JC_CKDN220050971-1A_H7MMHDSX5_L2
M3,M3CeC_CKDN220050954-1A_H7MMHDSX5_L2
M3,M3CoC_CKDN220050960-1A_H7MMHDSX5_L2
M3,M3DC_CKDN220050966-1A_H7MMHDSX5_L2
M3,M3IC_CKDN220050978-1A_H7MMHDSX5_L2
M3,M3JC_CKDN220050972-1A_H7MMHDSX5_L2
M4,M4CeG_CKDN220050955-1A_H7MMHDSX5_L2
M4,M4CoG_CKDN220050961-1A_merge
M4,M4DG_CKDN220050967-1A_H7MMHDSX5_L3
M4,M4IG_CKDN220050979-1A_H7MMHDSX5_L2
M4,M4JG_CKDN220050973-1A_merge
M5,M5CeG_CKDN220050956-1A_H7MMHDSX5_L2
M5,M5CoG_CKDN220050962-1A_merge
M5,M5DG_CKDN220050968-1A_merge
M5,M5IG_CKDN220050980-1A_HF3V5DSX5_L1
M5,M5JG_CKDN220050974-1A_merge
M6,M6CeG_CKDN220050957-1A_H7MMGDSX5_L2
M6,M6CoG_CKDN220050963-1A_H7MMHDSX5_L2
M6,M6DG_CKDN220050969-1A_H7MMGDSX5_L1
M6,M6IG_CKDN220050981-1A_HF3V5DSX5_L1
M6,M6JG_CKDN220050975-1A_H7MMHDSX5_L2
M7,M7CecGG
M7,M7ColonGG
M7,M7DGG
M7,M7IGG_2
M7,M7JGG
M8,M8CeCGG
M8,M8ColonGG_2
M8,M8D
M8,M8IGG_2
M8,M8JGG_2
TL1,TL1gDNAshort
